,loc,datetime,010039,010131,total_cnts
0,AL_HUNTSVILLE,2020-07-10,230.0,27.0,257.0
1,AL_HUNTSVILLE,2020-07-17,883.0,116.0,999.0
2,AL_HUNTSVILLE,2020-07-24,1614.0,103.0,1717.0
3,AL_HUNTSVILLE,2020-07-31,1550.0,92.0,1642.0
4,AL_HUNTSVILLE,2020-08-07,1256.0,92.0,1348.0
5,AL_HUNTSVILLE,2020-08-14,1001.0,66.0,1067.0
6,AL_HUNTSVILLE,2020-08-21,1028.0,57.0,1085.0
7,AL_HUNTSVILLE,2020-08-28,540.0,77.0,617.0
8,AL_HUNTSVILLE,2020-09-04,401.0,32.0,433.0
9,AL_HUNTSVILLE,2020-09-11,355.0,44.0,399.0
10,AL_HUNTSVILLE,2020-09-18,390.0,25.0,415.0
11,AL_HUNTSVILLE,2020-09-25,458.0,21.0,479.0
12,AL_HUNTSVILLE,2020-10-02,323.0,14.0,337.0
13,AL_HUNTSVILLE,2020-10-09,396.0,43.0,439.0
14,AL_HUNTSVILLE,2020-10-16,400.0,62.0,462.0
15,AL_HUNTSVILLE,2020-10-23,440.0,98.0,538.0
16,AL_HUNTSVILLE,2020-10-30,535.0,87.0,622.0
17,AL_HUNTSVILLE,2020-11-06,582.0,111.0,693.0
18,AL_HUNTSVILLE,2020-11-13,702.0,117.0,819.0
19,AL_HUNTSVILLE,2020-11-20,832.0,162.0,994.0
20,AL_HUNTSVILLE,2020-11-27,941.0,164.0,1105.0
21,AL_HUNTSVILLE,2020-12-04,1275.0,233.0,1508.0
22,AL_HUNTSVILLE,2020-12-11,1392.0,236.0,1628.0
23,AL_HUNTSVILLE,2020-12-18,1643.0,263.0,1906.0
24,AL_HUNTSVILLE,2020-12-25,1553.0,278.0,1831.0
25,AL_HUNTSVILLE,2021-01-01,1760.0,275.0,2035.0
26,AL_HUNTSVILLE,2021-01-08,1644.0,287.0,1931.0
27,AL_HUNTSVILLE,2021-01-15,1344.0,243.0,1587.0
28,AL_HUNTSVILLE,2021-01-22,1268.0,219.0,1487.0
29,AL_HUNTSVILLE,2021-01-29,1095.0,221.0,1316.0
30,AL_HUNTSVILLE,2021-02-05,795.0,191.0,986.0
31,AL_HUNTSVILLE,2021-02-12,543.0,146.0,689.0
32,AL_HUNTSVILLE,2021-02-19,476.0,112.0,588.0
33,AL_HUNTSVILLE,2021-02-26,363.0,81.0,444.0
34,AL_HUNTSVILLE,2021-03-05,310.0,70.0,380.0
35,AL_HUNTSVILLE,2021-03-12,257.0,52.0,309.0
36,AL_HUNTSVILLE,2021-03-19,230.0,13.0,243.0
37,AL_HUNTSVILLE,2021-03-26,182.0,23.0,205.0
38,AL_HUNTSVILLE,2021-04-02,163.0,37.0,200.0
39,AL_HUNTSVILLE,2021-04-09,215.0,60.0,275.0
40,AL_HUNTSVILLE,2021-04-16,283.0,62.0,345.0
41,AL_HUNTSVILLE,2021-04-23,197.0,60.0,257.0
42,AL_HUNTSVILLE,2021-04-30,225.0,71.0,296.0
43,AL_HUNTSVILLE,2021-05-07,236.0,87.0,323.0
44,AL_HUNTSVILLE,2021-05-14,184.0,69.0,253.0
45,AL_HUNTSVILLE,2021-05-21,124.0,20.0,144.0
46,AL_HUNTSVILLE,2021-05-28,74.0,14.0,88.0
47,AL_HUNTSVILLE,2021-06-04,61.0,12.0,73.0
48,AL_HUNTSVILLE,2021-06-11,79.0,10.0,89.0
49,AL_HUNTSVILLE,2021-06-18,111.0,25.0,136.0
50,AL_HUNTSVILLE,2021-06-25,116.0,43.0,159.0
51,AL_HUNTSVILLE,2021-07-02,131.0,55.0,186.0
52,AL_HUNTSVILLE,2021-07-09,159.0,43.0,202.0
53,AL_HUNTSVILLE,2021-07-16,241.0,51.0,292.0
54,AL_HUNTSVILLE,2021-07-23,372.0,89.0,461.0
55,AL_HUNTSVILLE,2021-07-30,675.0,96.0,771.0
56,AL_HUNTSVILLE,2021-08-06,972.0,90.0,1062.0
57,AL_HUNTSVILLE,2021-08-13,1026.0,180.0,1206.0
58,AL_HUNTSVILLE,2021-08-20,1052.0,218.0,1270.0
59,AL_HUNTSVILLE,2021-08-27,1332.0,265.0,1597.0
60,AL_HUNTSVILLE,2021-09-03,1417.0,268.0,1685.0
61,AL_HUNTSVILLE,2021-09-10,1307.0,302.0,1609.0
62,AL_HUNTSVILLE,2021-09-17,1147.0,195.0,1342.0
63,AL_HUNTSVILLE,2021-09-24,1063.0,204.0,1267.0
64,AL_HUNTSVILLE,2021-10-01,828.0,183.0,1011.0
65,AL_HUNTSVILLE,2021-10-08,687.0,97.0,784.0
66,AL_HUNTSVILLE,2021-10-15,503.0,76.0,579.0
67,AL_HUNTSVILLE,2021-10-22,380.0,41.0,421.0
68,AL_HUNTSVILLE,2021-10-29,287.0,23.0,310.0
69,AL_HUNTSVILLE,2021-11-05,211.0,25.0,236.0
70,AL_HUNTSVILLE,2021-11-12,215.0,53.0,268.0
71,AL_HUNTSVILLE,2021-11-19,222.0,52.0,274.0
72,AL_HUNTSVILLE,2021-11-26,287.0,20.0,307.0
73,AL_HUNTSVILLE,2021-12-03,313.0,32.0,345.0
74,AL_HUNTSVILLE,2021-12-10,256.0,28.0,284.0
75,AL_HUNTSVILLE,2021-12-17,280.0,46.0,326.0
76,AL_HUNTSVILLE,2021-12-24,415.0,68.0,483.0
77,AL_HUNTSVILLE,2021-12-31,678.0,115.0,793.0
78,AL_HUNTSVILLE,2022-01-07,1082.0,192.0,1274.0
79,AL_HUNTSVILLE,2022-01-14,1493.0,209.0,1702.0
80,AL_HUNTSVILLE,2022-01-21,1707.0,231.0,1938.0
81,AL_HUNTSVILLE,2022-01-28,1783.0,222.0,2005.0
82,AL_HUNTSVILLE,2022-02-04,1575.0,207.0,1782.0
83,AL_HUNTSVILLE,2022-02-11,1182.0,165.0,1347.0
84,AL_HUNTSVILLE,2022-02-18,906.0,89.0,995.0
85,AL_HUNTSVILLE,2022-02-25,734.0,65.0,799.0
86,AL_HUNTSVILLE,2022-03-04,441.0,37.0,478.0
87,AL_HUNTSVILLE,2022-03-11,253.0,23.0,276.0
88,AL_HUNTSVILLE,2022-03-18,147.0,15.0,162.0
89,AL_HUNTSVILLE,2022-03-25,109.0,15.0,124.0
90,AL_HUNTSVILLE,2022-04-01,100.0,10.0,110.0
91,AL_HUNTSVILLE,2022-04-08,82.0,0.0,82.0
92,AL_HUNTSVILLE,2022-04-15,69.0,0.0,69.0
93,AL_HUNTSVILLE,2022-04-22,86.0,5.0,91.0
94,AL_HUNTSVILLE,2022-04-29,67.0,10.0,77.0
95,AL_HUNTSVILLE,2022-05-06,52.0,9.0,61.0
96,AL_HUNTSVILLE,2022-05-13,66.0,15.0,81.0
97,AL_HUNTSVILLE,2022-05-20,112.0,17.0,129.0
98,AL_HUNTSVILLE,2022-05-27,177.0,23.0,200.0
99,AL_HUNTSVILLE,2022-06-03,210.0,22.0,232.0
100,AL_HUNTSVILLE,2022-06-10,186.0,24.0,210.0
101,AL_HUNTSVILLE,2022-06-17,167.0,31.0,198.0
102,AL_HUNTSVILLE,2022-06-24,168.0,40.0,208.0
103,AL_HUNTSVILLE,2022-07-01,244.0,39.0,283.0
104,AL_HUNTSVILLE,2022-07-08,344.0,70.0,414.0
105,AL_HUNTSVILLE,2022-07-15,401.0,80.0,481.0
106,AL_HUNTSVILLE,2022-07-22,475.0,70.0,545.0
107,AL_HUNTSVILLE,2022-07-29,434.0,51.0,485.0
108,AL_HUNTSVILLE,2022-08-05,520.0,58.0,578.0
109,AL_HUNTSVILLE,2022-08-12,535.0,81.0,616.0
110,AL_HUNTSVILLE,2022-08-19,544.0,61.0,605.0
111,AL_HUNTSVILLE,2022-08-26,540.0,37.0,577.0
112,AL_HUNTSVILLE,2022-09-02,483.0,42.0,525.0
113,AL_HUNTSVILLE,2022-09-09,368.0,53.0,421.0
114,AL_HUNTSVILLE,2022-09-16,281.0,34.0,315.0
115,AL_HUNTSVILLE,2022-09-23,242.0,11.0,253.0
116,AL_HUNTSVILLE,2022-09-30,170.0,6.0,176.0
117,AL_HUNTSVILLE,2022-10-07,196.0,6.0,202.0
118,AL_HUNTSVILLE,2022-10-14,144.0,23.0,167.0
119,AL_HUNTSVILLE,2022-10-21,168.0,24.0,192.0
120,AL_HUNTSVILLE,2022-10-28,280.0,19.0,299.0
121,AL_HUNTSVILLE,2022-11-04,265.0,26.0,291.0
122,AL_HUNTSVILLE,2022-11-11,207.0,22.0,229.0
123,AL_HUNTSVILLE,2022-11-18,207.0,13.0,220.0
124,AL_HUNTSVILLE,2022-11-25,261.0,36.0,297.0
125,AL_HUNTSVILLE,2022-12-02,330.0,43.0,373.0
126,AL_HUNTSVILLE,2022-12-09,314.0,59.0,373.0
127,AL_HUNTSVILLE,2022-12-16,85.0,59.0,144.0
128,AL_HUNTSVILLE,2022-12-23,63.0,59.0,122.0
129,AL_HUNTSVILLE,2022-12-30,70.0,65.0,135.0
130,AL_HUNTSVILLE,2023-01-06,83.0,63.0,146.0
131,AL_HUNTSVILLE,2023-01-13,68.0,48.0,116.0
132,AL_HUNTSVILLE,2023-01-20,36.0,59.0,95.0
133,AL_HUNTSVILLE,2023-01-27,32.0,47.0,79.0
134,AL_HUNTSVILLE,2023-02-03,43.0,57.0,100.0
135,AL_HUNTSVILLE,2023-02-10,53.0,49.0,102.0
136,AL_HUNTSVILLE,2023-02-17,38.0,51.0,89.0
137,AL_HUNTSVILLE,2023-02-24,36.0,37.0,73.0
138,AL_HUNTSVILLE,2023-03-03,36.0,19.0,55.0
